2024-03-14 11:02:18,331 INFO    MainThread:17220 [wandb_setup.py:_flush():76] Current SDK version is 0.16.4
2024-03-14 11:02:18,332 INFO    MainThread:17220 [wandb_setup.py:_flush():76] Configure stats pid to 17220
2024-03-14 11:02:18,332 INFO    MainThread:17220 [wandb_setup.py:_flush():76] Loading settings from C:\Users\Samy\.config\wandb\settings
2024-03-14 11:02:18,332 INFO    MainThread:17220 [wandb_setup.py:_flush():76] Loading settings from E:\Gun-Detection-master\wandb\settings
2024-03-14 11:02:18,332 INFO    MainThread:17220 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-03-14 11:02:18,332 INFO    MainThread:17220 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-03-14 11:02:18,332 INFO    MainThread:17220 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'train.py', 'program_abspath': 'E:\\Gun-Detection-master\\train.py', 'program': 'E:\\Gun-Detection-master\\train.py'}
2024-03-14 11:02:18,332 INFO    MainThread:17220 [wandb_setup.py:_flush():76] Applying login settings: {'mode': 'offline'}
2024-03-14 11:02:18,333 INFO    MainThread:17220 [wandb_init.py:_log_setup():526] Logging user logs to E:\Gun-Detection-master\wandb\offline-run-20240314_110218-jo71rqcp\logs\debug.log
2024-03-14 11:02:18,333 INFO    MainThread:17220 [wandb_init.py:_log_setup():527] Logging internal logs to E:\Gun-Detection-master\wandb\offline-run-20240314_110218-jo71rqcp\logs\debug-internal.log
2024-03-14 11:02:18,333 INFO    MainThread:17220 [wandb_init.py:init():566] calling init triggers
2024-03-14 11:02:18,333 INFO    MainThread:17220 [wandb_init.py:init():573] wandb.init called with sweep_config: {}
